sequence,Kingdom,Phylum,Class,Order,Family,Genus_water
H52-bin028_2,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H52-bin029_1,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158
H52-bin030_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,21-14-all-36-13,
H52-bin031_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,WO2-35-19
H52-bin032_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H52-bin033_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H52-bin034_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231
H52-bin034_2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231
H52-bin035_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H52-bin036_1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,,
H52-bin037_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H52-bin038_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H52-bin039_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H52-bin040_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,UBA1406,
H52-bin041_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628
H52-bin042,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,YA12-FULL-51-18
H52-bin043_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,UBA10002
H52-bin044_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA922,2-12-FULL-43-12
H52-bin045_1,Bacteria,Patescibacteria,ABY1,SG8-24,GWF2-40-263,XYB2-FULL-45-11
H52-bin046_1,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,0-14-0-20-34-12,0-14-0-20-34-12
H52-bin047_1,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,2-12-FULL-55-11
H52-bin049_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,
H52-bin050_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,2-01-FULL-38-21
H52-bin051_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,UBA12026
H52-bin052_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H52-bin053,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,UBA9983
H52-bin054_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,
H52-bin055_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H52-bin056,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H52-bin057_1,Bacteria,Nitrospirota,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22
H52-bin058_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H52-bin059_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H52-bin060_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sterolibacterium
H52-bin061_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,02-FULL-45-10c,02-FULL-45-10c
H52-bin062_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H52-bin063_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H52-bin064_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-39,2-12-FULL-64-23
H52-bin065_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,
H52-bin066_1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,
H52-bin067_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H52-bin068_1,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA11373,UBA11373
H52-bin069_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,XYD1-FULL-46-19,XYD1-FULL-44-32
H52-bin070_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H52-bin071_1,Bacteria,Bacteroidota,Bacteroidia,AKYH767,b-17BO,
H52-bin072_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H52-bin073_1,Bacteria,Patescibacteria,ABY1,UBA9570,,
H52-bin074_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H52-bin075_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,
H52-bin075_2,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,,
H52-bin076_1,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Fen-1258
H52-bin077_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR18,GW2011-AR18
H52-bin078_1,Bacteria,Patescibacteria,ABY1,SG8-24,GWF2-40-263,UBA12478
H52-bin079,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H52-bin080_1,Archaea,Micrarchaeota,Micrarchaeia,,,
H52-bin081_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,UM-FILTER-53-11,
H52-bin082_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H52-bin083_1,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619
H52-bin084_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H52-bin085_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,LOWO2-01-FULL-3,
H52-bin086,Bacteria,Patescibacteria,ABY1,BM507,GWE2-39-37,
H52-bin087_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
H52-bin088_1,Bacteria,Patescibacteria,Paceibacteria,2-01-FULL-47-10,,
H52-bin089_1,Bacteria,Patescibacteria,ABY1,GWA2-46-9,,
H52-bin090_1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,
H52-bin090_2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,
H52-bin091_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA922,
H52-bin092_1,Bacteria,Patescibacteria,Doudnabacteria,UBA920,UBA920,PALSA-1336
H52-bin093_1,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,
H52-bin094_1,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27
H52-bin095_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H52-bin096_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H52-bin097_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,GWA2-66-18
H52-bin098_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H52-bin099,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H52-bin100,Bacteria,Patescibacteria,Doudnabacteria,UBA920,,
H52-bin101_1,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,GWA2-49-15
H52-bin102_1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,,
H52-bin103_1,Bacteria,Patescibacteria,Paceibacteria,GWA2-38-13b,GWA2-38-13b,GWA2-38-13b
H52-bin104_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,YC2-FULL-38-9
H52-bin104_2,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,YC2-FULL-38-9
H52-bin105_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,RBG-13-33-26
H52-bin106_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Colwellbacteraceae,2-12-FULL-43-11
H52-bin107_1,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,
H52-bin108_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H52-bin109,Bacteria,ARS69,ARS69,,,
H52-bin110_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,
H52-bin111_1,Bacteria,Patescibacteria,ABY1,UBA10025,PEXW01,PEXW01
H52-bin112,Bacteria,Elusimicrobiota,Elusimicrobia,2-02-FULL-39-32,2-02-FULL-39-32,
H52-bin113_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H52-bin115_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,MFJZ01
H52-bin116_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,2-02-FULL-48-14,
H52-bin117_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,UBA6901
H52-bin118_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,SM1-46
H52-bin119_1,N/A,N/A,N/A,N/A,N/A,N/A
H52-bin120_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H52-bin121_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,
H52-bin122_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H52-bin123_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H52-bin124_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,
H52-bin125_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H52-bin126_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H52-bin127_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H52-bin128_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H52-bin129_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H52-bin130_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,GWA1-40-21,GWA1-40-21
H52-bin131_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H52-bin132_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,GWA1-40-21,GWA1-40-21
H52-bin133_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H52-bin134_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H52-bin135_1,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,RBG-16-43-11
H52-bin136,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,BSSC1
H52-bin137_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H52-bin138_1_1,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,
H52-bin139,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,UBA10002
H52-bin140_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,UBA927
H52-bin141_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,UBA489,
H52-bin142_1,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Fen-1258
H52-bin143_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H52-bin144_1,Bacteria,Actinobacteriota,Thermoleophilia,BMS3ABIN01,BMS3ABIN01,
H52-bin145_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,
H52-bin146_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,UBA1369,
H52-bin147_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,MEYI01
H52-bin148_1,Bacteria,Patescibacteria,ABY1,UBA9570,,
H52-bin149_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,
H52-bin150_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H52-bin151_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H52-bin152_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
H52-bin153_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H52-bin154,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,YC2-FULL-38-9
H52-bin155_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,GCA-002792115
H52-bin156_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA11717,2-02-FULL-53-10
H52-bin157_1,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,UBA12090
H52-bin158_1,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,
H52-bin159,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Fen-1258
H52-bin160_1,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,
H52-bin161_1,Bacteria,Bacteroidota,UBA10030,,,
H52-bin162_1,Bacteria,Firestonebacteria,D2-FULL-39-29,,,
H52-bin163_1,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,UBA10214
Omni_Hai_I,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_II,Bacteria,Omnitrophota,koll11,,,
Omni_Hai_III,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_IV,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_IX,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,
Omni_Hai_V,Bacteria,Omnitrophota,koll11,UBA10183,,
Omni_Hai_VI,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_VII,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,2-02-FULL-67-20
Omni_Hai_VIII,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_X,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,O2-FULL-52-10
Omni_Hai_XI,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10
Omni_Hai_XII,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10
Omni_Hai_XIII,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,
Omni_Hai_XIV,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_XIX,Bacteria,Omnitrophota,koll11,2-02-FULL-51-18,2-02-FULL-51-18,20-14-0-80-50-8
Omni_Hai_XL,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,
Omni_Hai_XLI,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_XLII,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,O2-FULL-52-10
Omni_Hai_XLIII,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,
Omni_Hai_XV,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_XVI,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445
Omni_Hai_XVII,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,1-14-0-20-42-13,
Omni_Hai_XVIII,Bacteria,Omnitrophota,koll11,UBA10015,GCA-002753745,
Omni_Hai_XX,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,
Omni_Hai_XXI,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,
Omni_Hai_XXII,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,UBA12090
Omni_Hai_XXIII,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249
Omni_Hai_XXIV,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_XXIX,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,
Omni_Hai_XXV,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183
Omni_Hai_XXVI,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,
Omni_Hai_XXVII,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,2-02-FULL-67-20
Omni_Hai_XXVIII,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183
Omni_Hai_XXX,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,
Omni_Hai_XXXI,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_XXXII,Bacteria,Omnitrophota,koll11,2-02-FULL-51-18,,
Omni_Hai_XXXIII,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,2-02-FULL-67-20
Omni_Hai_XXXIV,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_XXXIX,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_XXXV,Bacteria,Omnitrophota,koll11,UBA9649,UBA9649,2-02-FULL-67-20
Omni_Hai_XXXVI,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_XXXVII,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
Omni_Hai_XXXVIII,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,2-02-FULL-48-11
